Buy Price,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM,Previous Pattern,Pattern
91,42,39,36,32,28,24,104,NaN,141,142,NaN,40,4,1
103,47,43,38,116,112,179,180,NaN,NaN,NaN,NaN,NaN,4,1
106,91,87,82,78,139,191,539,183,NaN,92,75,76,4,2
101,90,85,81,76,72,67,62,58,53,NaN,46,42,4,3 
110,98,94,88,85,154,186,374,193,117,56,NaN,NaN,4,2
105,99,122,121,105,140,97,71,64,56,NaN,NaN,NaN,4,0
107,74,67,120,127,98,116,76,71,66,NaN,NaN,98,4,0
105,95,145,139,103,114,106,65,56,116,74,NaN,55,4,0
100,87,82,78,73,69,66,62,58,NaN,NaN,NaN,NaN,4,0
107,96,92,87,83,78,74,69,65,62,58,53,49,4,3
98,82,131,129,137,138,137,56,47,38,NaN,30,27,4,1
93,101,107,96,127,128,62,58,49,96,88,62,56,4,0
99,86,129,187,276,176,135,86,76,88,NaN,NaN,NaN,4,2
106,48,43,38,32,29,100,101,152,155,150,58,54,4,1
104,96,113,109,78,72,63,95,68,NaN,NaN,NaN,NaN,4,0
91,125,96,127,100,111,113,73,68,NaN,NaN,NaN,NaN,4,0
96,115,94,98,93,115,116,61,52,NaN,NaN,NaN,NaN,4,0
110,138,101,153,194,139,NaN,67,63,59,55,52,NaN,4,1
92,81,76,72,68,63,121,141,403,114,110,NaN,NaN,4,2
98,57,54,74,70,66,63,60,113,152,427,NaN,NaN,4,2
96,119,68,62,102,68,NaN,54,78,106,121,NaN,NaN,4,0
105,97,135,190,452,190,103,76,80,78,54,65,78,4,2
108,97,92,87,83,78,75,69,63,60,55,52,48,2,3
104,93,88,83,79,75,71,121,160,319,195,113,59,3,2
106,94,90,86,82,78,75,63,60,58,56,50,47,2,3
103,91,88,113,160,496,206,104,80,79,NaN,NaN,NaN,3,2
